	 DWIA + Delta + pion modifications 

**********   W = 3149.87 MeV    Q2=0.02 - 0.13 with step 0.01  **********

 EGEQ(LAB)= 355.00   EG*(LAB)= 358.55 MEV   QI=344.44 MEV   QF=288.31 MEV
 W3He(MEV)=3149.868   EG*(CM)= 314.063   EPI(CM)= 320.331   Q2GEV=   0.020
    angle   ds/dO(T)    ds/dO(L)     ds/dO(TT)   ds/dO(LT)   Q2(fm-2)
     0.00  0.1009E+02  0.3063E+01  -.7901E-08  0.1022E-03    0.0809
     5.00  0.9522E+01  0.3158E+01  -.5480E+00  0.7133E+00    0.1003
    10.00  0.8276E+01  0.3170E+01  -.1687E+01  0.6727E+00    0.1584
    15.00  0.7102E+01  0.2776E+01  -.2599E+01  0.6715E-01    0.2547
    20.00  0.6284E+01  0.2077E+01  -.2994E+01  -.5114E+00    0.3885
    25.00  0.5649E+01  0.1341E+01  -.2989E+01  -.7728E+00    0.5588
    30.00  0.5018E+01  0.7603E+00  -.2774E+01  -.7529E+00    0.7642
    35.00  0.4318E+01  0.3815E+00  -.2464E+01  -.5927E+00    1.0033
    40.00  0.3584E+01  0.1725E+00  -.2124E+01  -.4080E+00    1.2742
    45.00  0.2861E+01  0.7396E-01  -.1774E+01  -.2539E+00    1.5748
    50.00  0.2193E+01  0.3610E-01  -.1429E+01  -.1450E+00    1.9029
    55.00  0.1618E+01  0.2611E-01  -.1110E+01  -.7661E-01    2.2559
    60.00  0.1163E+01  0.2570E-01  -.8374E+00  -.3804E-01    2.6312
    65.00  0.8153E+00  0.2629E-01  -.6147E+00  -.1778E-01    3.0259
    70.00  0.5555E+00  0.2510E-01  -.4360E+00  -.7777E-02    3.4370
    75.00  0.3720E+00  0.2210E-01  -.3020E+00  -.3360E-02    3.8613
    80.00  0.2461E+00  0.1809E-01  -.2052E+00  -.1624E-02    4.2958
    85.00  0.1613E+00  0.1393E-01  -.1368E+00  -.1048E-02    4.7369
    90.00  0.1054E+00  0.1023E-01  -.8991E-01  -.9123E-03    5.1815
    95.00  0.6878E-01  0.7246E-02  -.5823E-01  -.8847E-03    5.6260
   100.00  0.4544E-01  0.5031E-02  -.3751E-01  -.8537E-03    6.0672
   105.00  0.3060E-01  0.3485E-02  -.2409E-01  -.7805E-03    6.5016
   110.00  0.2101E-01  0.2466E-02  -.1539E-01  -.6624E-03    6.9260
   115.00  0.1472E-01  0.1839E-02  -.9747E-02  -.5135E-03    7.3371
   120.00  0.1071E-01  0.1495E-02  -.6197E-02  -.3585E-03    7.7318
   125.00  0.8041E-02  0.1326E-02  -.3928E-02  -.2071E-03    8.1070
   130.00  0.6189E-02  0.1261E-02  -.2463E-02  -.6950E-04    8.4601
   135.00  0.4980E-02  0.1264E-02  -.1556E-02  0.3902E-04    8.7881
   140.00  0.4088E-02  0.1300E-02  -.9689E-03  0.1208E-03    9.0887
   145.00  0.3469E-02  0.1352E-02  -.6003E-03  0.1719E-03    9.3596
   150.00  0.2987E-02  0.1399E-02  -.3608E-03  0.1972E-03    9.5987
   155.00  0.2672E-02  0.1435E-02  -.2109E-03  0.1983E-03    9.8042
   160.00  0.2432E-02  0.1463E-02  -.1142E-03  0.1818E-03    9.9744
   165.00  0.2253E-02  0.1489E-02  -.5456E-04  0.1510E-03   10.1083
   170.00  0.2126E-02  0.1519E-02  -.2090E-04  0.1084E-03   10.2046
   175.00  0.2054E-02  0.1544E-02  -.4695E-05  0.5676E-04   10.2626


 EGEQ(LAB)= 355.00   EG*(LAB)= 360.33 MEV   QI=357.27 MEV   QF=288.31 MEV
 W3He(MEV)=3149.868   EG*(CM)= 312.476   EPI(CM)= 320.331   Q2GEV=   0.030
    angle   ds/dO(T)    ds/dO(L)     ds/dO(TT)   ds/dO(LT)   Q2(fm-2)
     0.00  0.9195E+01  0.4556E+01  -.6370E-08  0.5772E-04    0.1221
     5.00  0.8736E+01  0.4509E+01  -.4438E+00  0.3725E+00    0.1422
    10.00  0.7704E+01  0.4186E+01  -.1384E+01  0.2001E+00    0.2025
    15.00  0.6713E+01  0.3452E+01  -.2179E+01  -.3443E+00    0.3024
    20.00  0.5966E+01  0.2479E+01  -.2568E+01  -.7969E+00    0.4412
    25.00  0.5343E+01  0.1557E+01  -.2618E+01  -.9463E+00    0.6178
    30.00  0.4711E+01  0.8657E+00  -.2471E+01  -.8500E+00    0.8309
    35.00  0.4027E+01  0.4307E+00  -.2224E+01  -.6456E+00    1.0789
    40.00  0.3315E+01  0.1964E+00  -.1928E+01  -.4371E+00    1.3599
    45.00  0.2623E+01  0.8885E-01  -.1610E+01  -.2713E+00    1.6717
    50.00  0.1995E+01  0.4880E-01  -.1294E+01  -.1571E+00    2.0120
    55.00  0.1464E+01  0.3833E-01  -.1002E+01  -.8625E-01    2.3782
    60.00  0.1042E+01  0.3704E-01  -.7502E+00  -.4560E-01    2.7674
    65.00  0.7212E+00  0.3610E-01  -.5435E+00  -.2349E-01    3.1768
    70.00  0.4837E+00  0.3296E-01  -.3795E+00  -.1195E-01    3.6032
    75.00  0.3219E+00  0.2805E-01  -.2612E+00  -.6377E-02    4.0434
    80.00  0.2106E+00  0.2230E-01  -.1755E+00  -.3647E-02    4.4940
    85.00  0.1364E+00  0.1674E-01  -.1157E+00  -.2327E-02    4.9516
    90.00  0.8794E-01  0.1199E-01  -.7512E-01  -.1662E-02    5.4127
    95.00  0.5665E-01  0.8298E-02  -.4807E-01  -.1282E-02    5.8739
   100.00  0.3703E-01  0.5639E-02  -.3066E-01  -.1030E-02    6.3315
   105.00  0.2463E-01  0.3830E-02  -.1948E-01  -.8203E-03    6.7821
   110.00  0.1677E-01  0.2680E-02  -.1233E-01  -.6266E-03    7.2222
   115.00  0.1175E-01  0.2005E-02  -.7802E-02  -.4420E-03    7.6487
   120.00  0.8467E-02  0.1643E-02  -.4914E-02  -.2663E-03    8.0581
   125.00  0.6275E-02  0.1477E-02  -.3074E-02  -.1064E-03    8.4473
   130.00  0.4876E-02  0.1436E-02  -.1944E-02  0.2379E-04    8.8135
   135.00  0.3884E-02  0.1456E-02  -.1217E-02  0.1269E-03    9.1538
   140.00  0.3183E-02  0.1511E-02  -.7581E-03  0.1986E-03    9.4656
   145.00  0.2679E-02  0.1577E-02  -.4675E-03  0.2397E-03    9.7466
   150.00  0.2320E-02  0.1636E-02  -.2831E-03  0.2532E-03    9.9946
   155.00  0.2040E-02  0.1679E-02  -.1634E-03  0.2449E-03   10.2077
   160.00  0.1856E-02  0.1710E-02  -.8814E-04  0.2181E-03   10.3843
   165.00  0.1722E-02  0.1739E-02  -.4177E-04  0.1769E-03   10.5231
   170.00  0.1627E-02  0.1771E-02  -.1584E-04  0.1258E-03   10.6230
   175.00  0.1569E-02  0.1798E-02  -.3501E-05  0.6520E-04   10.6832


 EGEQ(LAB)= 355.00   EG*(LAB)= 362.11 MEV   QI=369.66 MEV   QF=288.31 MEV
 W3He(MEV)=3149.868   EG*(CM)= 310.888   EPI(CM)= 320.331   Q2GEV=   0.040
    angle   ds/dO(T)    ds/dO(L)     ds/dO(TT)   ds/dO(LT)   Q2(fm-2)
     0.00  0.8349E+01  0.5729E+01  -.5099E-08  0.1820E-04    0.1700
     5.00  0.7971E+01  0.5539E+01  -.3567E+00  0.7225E-01    0.1908
    10.00  0.7148E+01  0.4935E+01  -.1132E+01  -.2043E+00    0.2531
    15.00  0.6312E+01  0.3915E+01  -.1824E+01  -.6789E+00    0.3565
    20.00  0.5623E+01  0.2729E+01  -.2199E+01  -.1008E+01    0.5001
    25.00  0.5015E+01  0.1680E+01  -.2289E+01  -.1057E+01    0.6829
    30.00  0.4396E+01  0.9217E+00  -.2198E+01  -.9006E+00    0.9034
    35.00  0.3732E+01  0.4564E+00  -.2000E+01  -.6673E+00    1.1600
    40.00  0.3050E+01  0.2101E+00  -.1742E+01  -.4469E+00    1.4507
    45.00  0.2402E+01  0.9950E-01  -.1459E+01  -.2784E+00    1.7733
    50.00  0.1812E+01  0.5841E-01  -.1168E+01  -.1633E+00    2.1254
    55.00  0.1316E+01  0.4720E-01  -.8970E+00  -.9197E-01    2.5043
    60.00  0.9297E+00  0.4486E-01  -.6670E+00  -.5082E-01    2.9071
    65.00  0.6379E+00  0.4246E-01  -.4792E+00  -.2784E-01    3.3307
    70.00  0.4259E+00  0.3779E-01  -.3329E+00  -.1533E-01    3.7719
    75.00  0.2798E+00  0.3140E-01  -.2262E+00  -.8688E-02    4.2273
    80.00  0.1807E+00  0.2444E-01  -.1500E+00  -.5112E-02    4.6936
    85.00  0.1155E+00  0.1800E-01  -.9771E-01  -.3176E-02    5.1670
    90.00  0.7331E-01  0.1265E-01  -.6251E-01  -.2089E-02    5.6441
    95.00  0.4686E-01  0.8620E-02  -.3972E-01  -.1457E-02    6.1213
   100.00  0.3041E-01  0.5778E-02  -.2518E-01  -.1054E-02    6.5947
   105.00  0.2003E-01  0.3882E-02  -.1585E-01  -.7607E-03    7.0610
